Using request distribution 'zipfian' a keyrange of [0 500000]
***************** properties *****************
"workload"="core"
"scanproportion"="0"
"readallfields"="true"
"readproportion"="0.95"
"operationcount"="500000"
"etcd.endpoints"="127.0.0.1:50051"
"insertproportion"="0"
"recordcount"="500000"
"threadcount"="8"
"updateproportion"="0.05"
"measurementtype"="histogram"
"dotransactions"="true"
"requestdistribution"="zipfian"
"etcd.dial_timeout"="2s"
"command"="run"
**********************************************
READ   - Takes(s): 310.0, Count: 414807, OPS: 1338.1, Avg(us): 5640, Min(us): 2108, Max(us): 119487, 50th(us): 5295, 90th(us): 7331, 95th(us): 8215, 99th(us): 11111, 99.9th(us): 34847, 99.99th(us): 99263
TOTAL  - Takes(s): 310.0, Count: 436509, OPS: 1408.1, Avg(us): 5672, Min(us): 2108, Max(us): 119487, 50th(us): 5331, 90th(us): 7347, 95th(us): 8231, 99th(us): 11191, 99.9th(us): 35455, 99.99th(us): 99327
UPDATE - Takes(s): 310.0, Count: 21702, OPS: 70.0, Avg(us): 6273, Min(us): 3332, Max(us): 119423, 50th(us): 5855, 90th(us): 7567, 95th(us): 8503, 99th(us): 12847, 99.9th(us): 47967, 99.99th(us): 114495
READ   - Takes(s): 320.0, Count: 427378, OPS: 1335.6, Avg(us): 5650, Min(us): 2108, Max(us): 119487, 50th(us): 5307, 90th(us): 7347, 95th(us): 8231, 99th(us): 11111, 99.9th(us): 34719, 99.99th(us): 97087
TOTAL  - Takes(s): 320.0, Count: 449806, OPS: 1405.7, Avg(us): 5682, Min(us): 2108, Max(us): 119487, 50th(us): 5347, 90th(us): 7363, 95th(us): 8247, 99th(us): 11183, 99.9th(us): 34975, 99.99th(us): 99327
UPDATE - Takes(s): 320.0, Count: 22428, OPS: 70.1, Avg(us): 6282, Min(us): 3332, Max(us): 119423, 50th(us): 5871, 90th(us): 7579, 95th(us): 8503, 99th(us): 12807, 99.9th(us): 47967, 99.99th(us): 114495
READ   - Takes(s): 330.0, Count: 440378, OPS: 1334.5, Avg(us): 5655, Min(us): 2108, Max(us): 119487, 50th(us): 5311, 90th(us): 7355, 95th(us): 8239, 99th(us): 11151, 99.9th(us): 34687, 99.99th(us): 96831
TOTAL  - Takes(s): 330.0, Count: 463500, OPS: 1404.6, Avg(us): 5686, Min(us): 2108, Max(us): 119487, 50th(us): 5351, 90th(us): 7371, 95th(us): 8255, 99th(us): 11207, 99.9th(us): 34911, 99.99th(us): 99263
UPDATE - Takes(s): 330.0, Count: 23122, OPS: 70.1, Avg(us): 6281, Min(us): 3332, Max(us): 119423, 50th(us): 5875, 90th(us): 7583, 95th(us): 8495, 99th(us): 12751, 99.9th(us): 47455, 99.99th(us): 114495
READ   - Takes(s): 340.0, Count: 452995, OPS: 1332.4, Avg(us): 5663, Min(us): 2108, Max(us): 119487, 50th(us): 5319, 90th(us): 7367, 95th(us): 8263, 99th(us): 11207, 99.9th(us): 34719, 99.99th(us): 99391
TOTAL  - Takes(s): 340.0, Count: 476839, OPS: 1402.5, Avg(us): 5694, Min(us): 2108, Max(us): 119487, 50th(us): 5355, 90th(us): 7383, 95th(us): 8271, 99th(us): 11271, 99.9th(us): 34943, 99.99th(us): 99519
UPDATE - Takes(s): 340.0, Count: 23844, OPS: 70.1, Avg(us): 6292, Min(us): 3332, Max(us): 119423, 50th(us): 5883, 90th(us): 7607, 95th(us): 8527, 99th(us): 12743, 99.9th(us): 47455, 99.99th(us): 116287
